ntp_time,throughput,durasi
1669715241.519096,24055.0,1.0
1669715242.519096,48896.0,1.0
1669715243.519096,13505.0,1.0
1669715244.519096,0.0,1.0
1669715245.519096,0.0,1.0
1669715246.519096,50464.0,1.0
1669715247.519096,29733.0,1.0
1669715248.519096,13024.0,1.0
1669715249.519096,0.0,1.0
1669715250.519096,0.0,1.0
1669715251.519096,55560.0,1.0
1669715252.519096,7262.0,1.0
1669715253.519096,0.0,1.0
1669715254.519096,45187.0,1.0
1669715255.519096,30774.0,1.0
1669715256.519096,34373.0,1.0
1669715257.519096,14747.0,1.0
1669715258.519096,0.0,1.0
1669715259.519096,44732.0,1.0
1669715260.519096,31196.0,1.0
1669715261.519096,30750.0,1.0
1669715262.519096,17309.0,1.0
1669715263.519096,0.0,1.0
1669715264.519096,0.0,1.0
1669715265.519096,42877.0,1.0
1669715266.519096,30576.0,1.0
1669715267.519096,31370.0,1.0
1669715268.519096,14472.0,1.0
1669715269.519096,0.0,1.0
1669715270.519096,70451.0,1.0
1669715271.519096,32295.0,1.0
1669715272.519096,31388.0,1.0
1669715273.519096,17222.0,1.0
1669715274.519096,0.0,1.0
1669715275.519096,0.0,1.0
1669715276.519096,45214.0,1.0
1669715277.519096,29260.0,1.0
1669715278.519096,30343.0,1.0
1669715279.519096,31406.0,1.0
1669715280.519096,13849.0,1.0
1669715281.519096,0.0,1.0
1669715282.519096,0.0,1.0
1669715283.519096,119308.0,1.0
1669715284.519096,32287.0,1.0
1669715285.519096,32287.0,1.0
1669715286.519096,32287.0,1.0
1669715287.519096,42880.0,1.0
1669715288.519096,32180.0,1.0
1669715289.519096,19975.0,1.0
1669715290.519096,0.0,1.0
1669715291.519096,55668.0,1.0
1669715292.519096,3045.0,1.0
1669715293.519096,0.0,1.0
